Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,58.1,56.4,65.9,67.8,70.0,72.4,75.0,76.7,78.7,80.5,82.7,84.8,86.7,88.8,91.0,93.1
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,112.4,110.3,123.6,126.0,128.6,131.5,134.8,117.6,120.2,122.9,125.6,125.6,128.3,131.2,134.3,137.4
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,62.3,61.0,75.3,76.7,78.3,80.1,81.9,83.3,85.1,86.7,88.4,89.9,91.6,93.5,95.4,97.4
1714219,Pop tumani,Папский район,Pop district,Поп тумани,69.6,68.2,77.1,79.0,81.3,83.7,86.3,88.2,89.9,91.8,93.8,95.4,97.6,99.8,102.1,104.3
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,80.1,78.6,79.9,81.9,84.1,86.5,89.0,91.2,92.9,94.7,96.5,96.1,98.2,100.4,102.7,104.8
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,103.8,102.0,110.2,112.2,114.6,117.4,120.2,101.8,104.2,106.5,109.0,111.4,114.3,116.9,119.7,122.6
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,85.3,83.6,83.3,84.7,86.5,88.5,90.7,92.5,94.3,96.1,98.1,99.8,101.8,103.9,106.0,108.1
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,55.7,54.5,53.1,54.7,56.4,58.3,60.3,61.7,63.4,64.9,66.1,67.2,68.5,69.8,71.2,72.5
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,68.9,67.3,71.8,73.5,75.6,78.0,80.6,82.6,83.8,84.7,85.9,86.6,87.8,89.0,90.2,91.6
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,40.4,39.1,59.0,60.7,62.6,64.6,66.7,62.8,64.6,66.1,67.5,69.4,71.1,72.9,74.7,76.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1958.6,1915.8,2025.0,2068.2,2120.8,2177.8,2228.6,2278.9,2329.3,2384.2,2439.1,2489.0,2548.2,2605.2,2665.6,2726.9
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,68.0,65.7,78.8,80.6,83.0,85.4,87.7,89.7,92.1,94.2,96.5,98.7,101.3,103.9,106.7,109.2
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,114.9,112.3,119.9,122.6,125.9,129.7,132.8,135.8,138.7,141.8,144.6,147.3,150.6,153.6,157.3,161.4
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,102.4,100.2,108.0,110.4,113.4,116.8,119.9,122.8,126.2,129.8,133.5,136.8,140.6,144.1,148.0,151.7
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,136.5,133.3,150.4,153.9,158.1,162.5,166.9,171.1,175.2,179.9,184.3,187.9,192.9,197.4,201.9,206.8
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,174.5,170.8,185.5,189.3,193.9,198.6,202.8,207.0,211.5,215.9,220.3,224.0,228.9,233.5,238.6,243.8
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,91.4,89.5,97.0,99.7,102.8,105.9,108.5,111.0,113.4,116.1,118.8,121.1,123.8,126.2,128.7,131.1
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,117.2,114.7,125.8,128.0,130.6,133.9,137.0,140.0,142.7,145.6,148.6,150.9,154.1,157.4,160.5,163.9
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,140.1,137.5,146.9,150.0,153.3,157.3,160.6,164.6,168.2,172.4,176.7,181.1,185.9,191.5,196.8,202.3
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,195.2,190.7,215.5,220.1,226.1,232.1,237.8,243.4,249.2,255.1,261.2,266.5,272.6,278.4,285.2,292.4
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,95.3,93.9,100.3,101.9,103.7,105.9,107.6,109.4,111.3,113.6,115.7,117.4,119.3,121.0,123.1,125.0
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,268.6,264.2,201.0,204.2,209.1,214.4,218.2,222.7,226.7,231.4,236.2,240.7,245.4,250.7,255.9,261.3
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,103.8,101.6,111.1,113.8,116.7,119.6,122.1,124.7,127.1,130.0,132.6,135.2,138.6,141.4,144.4,147.3
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,216.4,210.1,237.9,243.5,250.2,257.9,265.1,271.6,278.6,286.4,294.0,301.3,309.4,316.9,324.6,332.3
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,134.3,131.3,146.9,150.2,154.0,157.8,161.6,165.1,168.4,172.0,176.1,180.1,184.8,189.2,193.9,198.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1307.1,1307.1,1411.0,1441.4,1476.8,1513.1,1550.4,1584.7,1620.9,1659.3,1675.1,1709.6,1749.9,1789.7,1836.1,1881.4
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,81.3,81.3,90.1,91.6,93.6,95.5,97.5,99.4,101.4,103.6,106.1,108.3,110.6,112.7,115.3,118.1
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,49.1,49.1,55.9,57.2,58.8,60.3,61.6,63.1,64.5,65.7,67.3,68.8,70.4,72.0,73.9,75.7
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,62.6,64.3,66.0,68.1,70.0
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,55.2,55.2,58.7,60.0,61.4,62.7,64.0,65.2,66.4,67.6,67.8,68.9,70.0,71.1,72.5,73.8
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,69.4,69.4,73.3,75.1,77.0,79.2,81.5,83.2,85.3,87.2,89.2,90.9,93.0,95.1,97.19999999999999,99.4
