Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,89.6,91.3,93.0,93.7,95.4,97.2,99.1,101.0,102.9,104.9,107.1,109.1
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,116.9,118.9,121.1,123.0,124.9,127.1,129.5,131.6,134.2,136.7,139.6,142.4
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,98.1,99.9,101.8,101.0,102.8,104.8,107.0,109.3,111.5,114.2,116.6,119.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1720.3,1753.2,1786.6,1819.5,1852.1,1889.8,1927.7,1962.0,2002.8,2045.0,2088.9,2132.0
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,264.3,266.1,268.7,270.8,273.6,277.8,281.9,284.6,289.6,295.2,301.5,306.8
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,41.3,41.9,42.5,43.2,43.6,44.1,44.9,45.4,46.0,46.7,47.5,48.1
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,70.1,71.6,73.1,74.6,76.1,77.3,78.7,80.1,81.7,83.7,85.7,87.6
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,80.7,82.6,84.5,86.3,87.8,89.7,91.3,92.9,94.8,96.8,99.0,101.3
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,73.0,74.8,76.7,78.5,80.6,82.9,85.1,87.2,89.4,91.6,93.9,96.2
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,110.9,113.2,115.6,118.0,120.4,123.1,125.9,128.2,131.4,134.2,136.9,139.8
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,119.6,122.0,124.4,126.7,129.2,131.7,134.2,136.3,139.0,141.7,144.7,147.6
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,56.3,57.8,59.1,60.3,61.5,62.9,64.3,65.5,66.8,68.1,69.5,70.7
