geo_code,year,total_birth_yearly,birth_girls,birth_boys,share_girls,share_boys,sex_diff
1714242,2010,3769.0,1795.0,1974.0,47.62536481825418,52.37463518174582,0.0
1714242,2013,4160.0,2038.0,2122.0,48.99038461538461,51.00961538461538,0.0
1714242,2014,4511.0,2117.0,2394.0,46.92972733318555,53.07027266681445,0.0
1714242,2015,4465.0,2094.0,2371.0,46.89809630459126,53.10190369540874,0.0
1714242,2017,4301.0,2165.0,2136.0,50.33713089979075,49.66286910020926,0.0
1714242,2018,4935.0,2387.0,2548.0,48.36879432624113,51.63120567375886,0.0
1714242,2019,5222.0,2556.0,2666.0,48.946763692072004,51.053236307927996,0.0
1714242,2021,6055.0,2844.0,3211.0,46.96944673823287,53.03055326176713,0.0
1714242,2022,6434.0,3120.0,3314.0,48.49238420889027,51.50761579110973,0.0
1714242,2023,6039.0,2942.0,3097.0,48.71667494618314,51.28332505381685,0.0
1714242,2024,5925.0,2903.0,3022.0,48.995780590717295,51.004219409282705,0.0
1714,2010,50799.0,24426.0,26373.0,48.08362369337979,51.91637630662021,0.0
1714,2013,56859.0,27395.0,29464.0,48.180587066251604,51.819412933748396,0.0
1714,2014,62285.0,29732.0,32553.0,47.735409809745526,52.26459019025448,0.0
1714,2015,61980.0,29218.0,32762.0,47.14101323007422,52.858986769925785,0.0
1714,2017,61380.0,29267.0,32113.0,47.681655262300424,52.318344737699576,0.0
1714,2018,66490.0,31650.0,34840.0,47.60114302902692,52.39885697097307,0.0
1714,2019,71830.0,34455.0,37375.0,47.9674230822776,52.032576917722395,0.0
1714,2021,79968.0,38668.0,41300.0,48.35434173669468,51.64565826330533,0.0
1714,2022,82330.0,39758.0,42572.0,48.291023928094255,51.708976071905745,0.0
1714,2023,84496.0,40686.0,43810.0,48.1513917818595,51.8486082181405,0.0
1714,2024,81930.0,39505.0,42425.0,48.217990967899425,51.782009032100575,0.0
1714401,2011,10513.0,5004.0,5509.0,47.59821173784838,52.401788262151626,0.0
1714401,2012,10611.0,4964.0,5647.0,46.78164169258317,53.218358307416835,0.0
1714401,2016,13240.0,6256.0,6984.0,47.25075528700906,52.74924471299094,0.0
1714401,2020,18688.0,8901.0,9787.0,47.6294948630137,52.3705051369863,0.0
1714204,2011,2183.0,1058.0,1125.0,48.465414567109484,51.53458543289052,0.0
1714204,2012,2107.0,1029.0,1078.0,48.837209302325576,51.162790697674424,0.0
1714204,2016,2737.0,1291.0,1446.0,47.16843259042747,52.83156740957252,0.0
1714204,2020,3252.0,1587.0,1665.0,48.800738007380076,51.199261992619924,0.0
1714207,2010,4211.0,2035.0,2176.0,48.325813345998576,51.67418665400142,0.0
1714207,2013,4453.0,2132.0,2321.0,47.87783516730294,52.12216483269706,0.0
